Graph_ID,DP_Number,Date,Displacement_cm,Precipitation_mm
a,54092,2015-04-01,-1.0,90
a,54092,2015-07-01,-0.9,60
a,54092,2015-10-01,-0.7,40
a,54092,2016-01-01,-0.5,110
a,54092,2016-04-01,-0.4,80
a,54092,2016-07-01,-0.3,40
a,54092,2017-01-01,-0.1,128.8
a,54092,2017-03-01,0.0,146.4
a,54092,2017-07-01,0.2,50
a,54092,2018-01-01,0.4,70
a,54092,2018-07-01,0.5,40
a,54092,2018-11-01,0.6,141
a,54092,2019-01-01,0.7,80
a,54092,2019-04-01,0.8,101.2
a,54092,2019-07-01,0.9,50
b,85791,2018-11-01,0.0,141
b,85791,2019-02-01,-0.1,50
b,85791,2019-04-01,-0.2,101.2
b,85791,2019-07-01,-0.3,30
b,85791,2019-12-01,-0.4,148
b,85791,2020-02-01,-0.5,109.7
b,85791,2020-07-01,-0.7,50
b,85791,2021-03-01,0.5,213.4
b,85791,2021-04-01,0.6,80
c,71045,2018-06-01,-2.5,50
c,71045,2018-11-01,-2.6,141
c,71045,2019-04-01,-2.7,101.2
c,71045,2019-12-01,-2.9,148
c,71045,2020-02-01,-3.0,109.7
c,71045,2021-03-01,-0.5,213.4
c,71045,2021-11-01,0.5,70





























































